Texto,Semántica  (5|3|1)_interna,Semántica  (5|3|1)_externa,Semántica  (5|3|1),Semántica  (5|3|1)_diferencia_original,Semántica  (5|3|1)_aplico_regla_cero,Claridad  (5|3|1)_interna,Claridad  (5|3|1)_externa,Claridad  (5|3|1),Claridad  (5|3|1)_diferencia_original,Claridad  (5|3|1)_aplico_regla_cero,Fluidez y corrección  (5|3|1)_interna,Fluidez y corrección  (5|3|1)_externa,Fluidez y corrección  (5|3|1),Fluidez y corrección  (5|3|1)_diferencia_original,Fluidez y corrección  (5|3|1)_aplico_regla_cero,Léxico y sintaxis (5|3|1)_interna,Léxico y sintaxis (5|3|1)_externa,Léxico y sintaxis (5|3|1),Léxico y sintaxis (5|3|1)_diferencia_original,Léxico y sintaxis (5|3|1)_aplico_regla_cero,Adecuación al público / tono (5|3|1)_interna,Adecuación al público / tono (5|3|1)_externa,Adecuación al público / tono (5|3|1),Adecuación al público / tono (5|3|1)_diferencia_original,Adecuación al público / tono (5|3|1)_aplico_regla_cero,Estructura y presentación (5|3|1)_interna,Estructura y presentación (5|3|1)_externa,Estructura y presentación (5|3|1),Estructura y presentación (5|3|1)_diferencia_original,Estructura y presentación (5|3|1)_aplico_regla_cero,Manejo de números y datos (5|3|1)_interna,Manejo de números y datos (5|3|1)_externa,Manejo de números y datos (5|3|1),Manejo de números y datos (5|3|1)_diferencia_original,Manejo de números y datos (5|3|1)_aplico_regla_cero,Puntaje Final,Aplico regla cero
94,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,False
95,5.0,0.0,0.0,5.0,True,3.0,0.0,0.0,3.0,True,3.0,0.0,0.0,3.0,True,5.0,0.0,0.0,5.0,True,5.0,0.0,0.0,5.0,True,5.0,0.0,0.0,5.0,True,3.0,0.0,0.0,3.0,True,0.0,True
96,3.0,5.0,4.0,2.0,False,3.0,3.0,3.0,0.0,False,5.0,3.0,4.0,2.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,4.1,False
97,3.0,1.0,2.0,2.0,False,3.0,5.0,4.0,2.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,4.0,False
98,3.0,0.0,0.0,3.0,True,3.0,0.0,0.0,3.0,True,3.0,0.0,0.0,3.0,True,5.0,0.0,0.0,5.0,True,5.0,0.0,0.0,5.0,True,5.0,0.0,0.0,5.0,True,5.0,0.0,0.0,5.0,True,0.0,True
99,3.0,3.0,3.0,0.0,False,3.0,1.0,2.0,2.0,False,5.0,1.0,3.0,4.0,False,5.0,3.0,4.0,2.0,False,5.0,3.0,4.0,2.0,False,5.0,1.0,3.0,4.0,False,5.0,5.0,5.0,0.0,False,3.05,False
100,3.0,3.0,3.0,0.0,False,5.0,3.0,4.0,2.0,False,5.0,3.0,4.0,2.0,False,5.0,3.0,4.0,2.0,False,5.0,3.0,4.0,2.0,False,5.0,3.0,4.0,2.0,False,5.0,5.0,5.0,0.0,False,3.8,False
101,5.0,3.0,4.0,2.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,4.75,False
102,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,False
103,3.0,0.0,0.0,3.0,True,1.0,0.0,0.0,1.0,True,5.0,0.0,0.0,5.0,True,5.0,0.0,0.0,5.0,True,5.0,0.0,0.0,5.0,True,3.0,0.0,0.0,3.0,True,5.0,0.0,0.0,5.0,True,0.0,True
104,1.0,5.0,3.0,4.0,False,3.0,5.0,4.0,2.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,4.25,False
105,1.0,1.0,1.0,0.0,False,3.0,5.0,4.0,2.0,False,3.0,3.0,3.0,0.0,False,3.0,3.0,3.0,0.0,False,5.0,3.0,4.0,2.0,False,5.0,1.0,3.0,4.0,False,5.0,5.0,5.0,0.0,False,2.95,False
106,5.0,3.0,4.0,2.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,4.75,False
107,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,False
108,5.0,3.0,4.0,2.0,False,5.0,5.0,5.0,0.0,False,5.0,3.0,4.0,2.0,False,5.0,3.0,4.0,2.0,False,5.0,5.0,5.0,0.0,False,5.0,3.0,4.0,2.0,False,5.0,5.0,5.0,0.0,False,4.4,False
109,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,True,0.0,True
110,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,True,0.0,True
111,3.0,5.0,4.0,2.0,False,5.0,5.0,5.0,0.0,False,5.0,3.0,4.0,2.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,4.6,False
112,5.0,5.0,5.0,0.0,False,3.0,3.0,3.0,0.0,False,5.0,1.0,3.0,4.0,False,5.0,5.0,5.0,0.0,False,5.0,3.0,4.0,2.0,False,5.0,3.0,4.0,2.0,False,5.0,5.0,5.0,0.0,False,4.0,False
113,3.0,0.0,0.0,3.0,True,3.0,0.0,0.0,3.0,True,5.0,0.0,0.0,5.0,True,5.0,0.0,0.0,5.0,True,5.0,0.0,0.0,5.0,True,5.0,0.0,0.0,5.0,True,5.0,0.0,0.0,5.0,True,0.0,True
114,5.0,5.0,5.0,0.0,False,3.0,5.0,4.0,2.0,False,5.0,5.0,5.0,0.0,False,3.0,3.0,3.0,0.0,False,5.0,3.0,4.0,2.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,4.449999999999999,False
115,5.0,0.0,0.0,5.0,True,3.0,0.0,0.0,3.0,True,3.0,0.0,0.0,3.0,True,3.0,0.0,0.0,3.0,True,5.0,0.0,0.0,5.0,True,3.0,0.0,0.0,3.0,True,5.0,0.0,0.0,5.0,True,0.0,True
116,5.0,0.0,0.0,5.0,True,3.0,0.0,0.0,3.0,True,5.0,0.0,0.0,5.0,True,5.0,0.0,0.0,5.0,True,5.0,0.0,0.0,5.0,True,5.0,0.0,0.0,5.0,True,5.0,0.0,0.0,5.0,True,0.0,True
117,5.0,0.0,0.0,5.0,True,3.0,0.0,0.0,3.0,True,3.0,0.0,0.0,3.0,True,5.0,0.0,0.0,5.0,True,5.0,0.0,0.0,5.0,True,3.0,0.0,0.0,3.0,True,5.0,0.0,0.0,5.0,True,0.0,True
118,3.0,5.0,4.0,2.0,False,3.0,5.0,4.0,2.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,4.5,False
119,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,True,0.0,True
120,5.0,0.0,0.0,5.0,True,3.0,0.0,0.0,3.0,True,3.0,0.0,0.0,3.0,True,5.0,0.0,0.0,5.0,True,5.0,0.0,0.0,5.0,True,5.0,0.0,0.0,5.0,True,5.0,0.0,0.0,5.0,True,0.0,True
121,5.0,5.0,5.0,0.0,False,3.0,3.0,3.0,0.0,False,3.0,3.0,3.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,4.2,False
122,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,False
123,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,True,0.0,True
124,5.0,0.0,0.0,5.0,True,3.0,0.0,0.0,3.0,True,3.0,0.0,0.0,3.0,True,3.0,0.0,0.0,3.0,True,5.0,0.0,0.0,5.0,True,5.0,0.0,0.0,5.0,True,5.0,0.0,0.0,5.0,True,0.0,True
125,5.0,5.0,5.0,0.0,False,5.0,1.0,3.0,4.0,False,5.0,1.0,3.0,4.0,False,5.0,3.0,4.0,2.0,False,5.0,3.0,4.0,2.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,4.0,False
126,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,3.0,5.0,4.0,2.0,False,4.95,False
127,5.0,0.0,0.0,5.0,True,3.0,0.0,0.0,3.0,True,3.0,0.0,0.0,3.0,True,5.0,0.0,0.0,5.0,True,5.0,0.0,0.0,5.0,True,5.0,0.0,0.0,5.0,True,5.0,0.0,0.0,5.0,True,0.0,True
128,5.0,0.0,0.0,5.0,True,3.0,0.0,0.0,3.0,True,3.0,0.0,0.0,3.0,True,5.0,0.0,0.0,5.0,True,5.0,0.0,0.0,5.0,True,5.0,0.0,0.0,5.0,True,5.0,0.0,0.0,5.0,True,0.0,True
129,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,3.0,4.0,2.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,1.0,,1.0,,False,4.6499999999999995,False
130,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,False
131,5.0,3.0,4.0,2.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,4.75,False
132,5.0,5.0,5.0,0.0,False,3.0,5.0,4.0,2.0,False,5.0,3.0,4.0,2.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,4.6,False
133,3.0,1.0,2.0,2.0,False,1.0,1.0,1.0,0.0,False,3.0,1.0,2.0,2.0,False,5.0,1.0,3.0,4.0,False,5.0,1.0,3.0,4.0,False,5.0,1.0,3.0,4.0,False,5.0,1.0,3.0,4.0,False,2.1,False
134,5.0,1.0,3.0,4.0,False,3.0,5.0,4.0,2.0,False,3.0,5.0,4.0,2.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,4.1,False
135,5.0,5.0,5.0,0.0,False,3.0,3.0,3.0,0.0,False,3.0,1.0,2.0,2.0,False,5.0,5.0,5.0,0.0,False,5.0,3.0,4.0,2.0,False,5.0,3.0,4.0,2.0,False,5.0,5.0,5.0,0.0,False,3.8499999999999996,False
136,5.0,0.0,0.0,5.0,True,3.0,0.0,0.0,3.0,True,3.0,0.0,0.0,3.0,True,5.0,0.0,0.0,5.0,True,5.0,0.0,0.0,5.0,True,5.0,0.0,0.0,5.0,True,5.0,0.0,0.0,5.0,True,0.0,True
137,5.0,3.0,4.0,2.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,4.75,False
138,3.0,5.0,4.0,2.0,False,3.0,5.0,4.0,2.0,False,3.0,5.0,4.0,2.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,4.35,False
139,5.0,0.0,0.0,5.0,True,3.0,0.0,0.0,3.0,True,3.0,0.0,0.0,3.0,True,5.0,0.0,0.0,5.0,True,5.0,0.0,0.0,5.0,True,5.0,0.0,0.0,5.0,True,5.0,0.0,0.0,5.0,True,0.0,True
140,3.0,5.0,4.0,2.0,False,3.0,5.0,4.0,2.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,4.5,False
141,3.0,5.0,4.0,2.0,False,3.0,5.0,4.0,2.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,4.5,False
142,5.0,3.0,4.0,2.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,,5.0,,False,4.75,False
143,5.0,3.0,4.0,2.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,5.0,5.0,5.0,0.0,False,3.0,5.0,4.0,2.0,False,4.7,False
144,3.0,0.0,0.0,3.0,True,3.0,0.0,0.0,3.0,True,5.0,0.0,0.0,5.0,True,5.0,0.0,0.0,5.0,True,5.0,0.0,0.0,5.0,True,5.0,0.0,0.0,5.0,True,5.0,0.0,0.0,5.0,True,0.0,True
